effective_date,province,metric_category,metric,vaccine_type,vet_channel,value,unit,source_file,source_org,submitted_date,ingested_date,version,superseded_by,notes
2026-05-01,national,vaccine_receipt,doses_received,all,all,2828860,doses,01 May 2026/AgriSA - FMD Vaccination Data - 01.05.26.xlsx,ICC,2026-05-01,2026-04-28,1,,Backfilled from PDF
2026-05-01,national,animals_vaccinated,animals_vaccinated,all,all,2148494,count,01 May 2026/AgriSA - FMD Vaccination Data - 01.05.26.xlsx,ICC,2026-05-01,2026-04-28,1,,Backfilled from PDF
2026-05-01,national,disease,positive_cases,,,1474,count,01 May 2026/AgriSA - FMD Vaccination Data - 01.05.26.xlsx,ICC,2026-05-01,2026-04-28,1,,Backfilled from PDF
2026-05-01,national,disease,suspected_cases,,,868,count,01 May 2026/AgriSA - FMD Vaccination Data - 01.05.26.xlsx,ICC,2026-05-01,2026-04-28,1,,Backfilled from PDF
2026-05-01,national,disease,negative_cases,,,60,count,01 May 2026/AgriSA - FMD Vaccination Data - 01.05.26.xlsx,ICC,2026-05-01,2026-04-28,1,,Backfilled from PDF
2026-05-01,national,disease,pending_cases,,,191,count,01 May 2026/AgriSA - FMD Vaccination Data - 01.05.26.xlsx,ICC,2026-05-01,2026-04-28,1,,Backfilled from PDF
2026-04-24,EC,disease,positive_cases,,,166.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,disease,suspected_cases,,,258.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,disease,negative_cases,,,14.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,disease,pending_cases,,,0.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,vaccine_receipt,doses_received,bioaftogen,state,119614.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,vaccine_receipt,doses_received,bioaftogen,private,28204.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,vaccine_receipt,doses_received,bioaftogen,total,150000.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,vaccine_receipt,doses_received,dolvet,state,65654.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,vaccine_receipt,doses_received,dolvet,private,40857.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,vaccine_receipt,doses_received,dolvet,total,152000.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,vaccine_receipt,doses_received,obp_arc,total,2600.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,vaccine_receipt,doses_received,bvi,total,2600.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,vaccine_receipt,doses_received,all,all,304600.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,animals_vaccinated,animals_vaccinated,bioaftogen,state,55217.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,animals_vaccinated,animals_vaccinated,bioaftogen,total,142855.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,animals_vaccinated,animals_vaccinated,dolvet,state,32298.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,animals_vaccinated,animals_vaccinated,dolvet,total,156269.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,animals_vaccinated,animals_vaccinated,obp_arc,total,2177.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,animals_vaccinated,animals_vaccinated,bvi,state,450.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,animals_vaccinated,animals_vaccinated,bvi,total,1250.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,animals_vaccinated,animals_vaccinated,all,all,302551.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,historical,vaccinated_pre_2026,,,3427.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,classification,commercial_vaccinated,,,84216.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,classification,communal_vaccinated,,,84279.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,EC,herd,herd_cattle,,,2895096.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,FS,disease,positive_cases,,,433.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,FS,disease,suspected_cases,,,346.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,FS,disease,negative_cases,,,0.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,FS,disease,pending_cases,,,0.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,FS,vaccine_receipt,doses_received,bioaftogen,total,350000.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,FS,vaccine_receipt,doses_received,dolvet,total,195000.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,FS,vaccine_receipt,doses_received,obp_arc,total,2300.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,FS,vaccine_receipt,doses_received,all,all,547300.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,FS,animals_vaccinated,animals_vaccinated,bioaftogen,total,164512.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,FS,animals_vaccinated,animals_vaccinated,obp_arc,total,81137.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,FS,animals_vaccinated,animals_vaccinated,all,all,353447.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,FS,historical,vaccinated_pre_2026,,,43431.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,FS,herd,herd_cattle,,,1928862.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,GP,disease,positive_cases,,,262.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,GP,disease,suspected_cases,,,13.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,GP,disease,negative_cases,,,3.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,GP,disease,pending_cases,,,0.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,GP,vaccine_receipt,doses_received,bioaftogen,total,70000.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,GP,vaccine_receipt,doses_received,dolvet,total,213000.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,GP,vaccine_receipt,doses_received,obp_arc,total,2000.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,GP,vaccine_receipt,doses_received,all,all,285000.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,GP,animals_vaccinated,animals_vaccinated,bioaftogen,total,66550.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,GP,animals_vaccinated,animals_vaccinated,dolvet,total,81665.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,GP,animals_vaccinated,animals_vaccinated,obp_arc,total,1533.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,GP,animals_vaccinated,animals_vaccinated,all,all,149748.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,GP,historical,vaccinated_pre_2026,,,305435.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,GP,classification,commercial_vaccinated,,,127.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,GP,classification,communal_vaccinated,,,89.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,GP,herd,herd_cattle,,,474928.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,KZN,disease,positive_cases,,,69.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,KZN,disease,suspected_cases,,,72.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,KZN,disease,negative_cases,,,0.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,KZN,disease,pending_cases,,,0.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,KZN,vaccine_receipt,doses_received,all,all,775040.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,KZN,animals_vaccinated,animals_vaccinated,bioaftogen,private,102000.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,KZN,animals_vaccinated,animals_vaccinated,bioaftogen,total,200040.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,KZN,vaccine_spoilage,vaccines_spoiled,bioaftogen,,0.49959346806030386,percent,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,Reported as decimal — interpreted as % when <100
2026-04-24,KZN,animals_vaccinated,animals_vaccinated,dolvet,private,149400.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,KZN,animals_vaccinated,animals_vaccinated,dolvet,total,560000.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,KZN,vaccine_spoilage,vaccines_spoiled,dolvet,,3.1154677083213564,percent,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,Reported as decimal — interpreted as % when <100
2026-04-24,KZN,animals_vaccinated,animals_vaccinated,all,all,648609.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,KZN,historical,vaccinated_pre_2026,,,95153.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,KZN,classification,commercial_vaccinated,,,82.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,KZN,classification,communal_vaccinated,,,63.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,KZN,herd,herd_cattle,,,2726308.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,KZN,herd,herd_pigs,,,13396.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,LP,disease,positive_cases,,,40.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,LP,disease,suspected_cases,,,56.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,LP,disease,negative_cases,,,43.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,LP,disease,pending_cases,,,189.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,LP,vaccine_receipt,doses_received,bioaftogen,total,100020.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,LP,vaccine_receipt,doses_received,dolvet,total,35000.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,LP,vaccine_receipt,doses_received,obp_arc,total,1700.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,LP,vaccine_receipt,doses_received,all,all,151720.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,LP,animals_vaccinated,animals_vaccinated,bioaftogen,total,73396.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,LP,animals_vaccinated,animals_vaccinated,dolvet,total,19368.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,LP,vaccine_spoilage,vaccines_spoiled,dolvet,,0.019227332832993816,percent,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,Reported as decimal — interpreted as % when <100
2026-04-24,LP,animals_vaccinated,animals_vaccinated,obp_arc,total,1315.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,LP,animals_vaccinated,animals_vaccinated,bvi,total,19876.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,LP,animals_vaccinated,animals_vaccinated,all,all,128937.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,LP,historical,vaccinated_pre_2026,,,47194.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,LP,classification,commercial_vaccinated,,,50332.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,LP,classification,communal_vaccinated,,,65749.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,LP,herd,herd_cattle,,,1007316.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,MP,disease,positive_cases,,,203.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,MP,disease,suspected_cases,,,104.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,MP,disease,negative_cases,,,0.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,MP,disease,pending_cases,,,0.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,MP,vaccine_receipt,doses_received,bioaftogen,total,100020.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,MP,vaccine_receipt,doses_received,dolvet,total,95000.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,MP,vaccine_receipt,doses_received,obp_arc,total,2000.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,MP,vaccine_receipt,doses_received,all,all,197020.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,MP,animals_vaccinated,animals_vaccinated,all,all,176811.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,MP,classification,commercial_vaccinated,,,31284.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,MP,classification,communal_vaccinated,,,42020.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,MP,herd,herd_cattle,,,1177420.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,NW,disease,positive_cases,,,286.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,NW,disease,suspected_cases,,,0.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,NW,disease,negative_cases,,,0.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,NW,disease,pending_cases,,,0.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,NW,vaccine_receipt,doses_received,bioaftogen,total,100020.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,NW,vaccine_receipt,doses_received,dolvet,total,50000.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,NW,vaccine_receipt,doses_received,obp_arc,total,1400.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,NW,vaccine_receipt,doses_received,all,all,177400.0,doses,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,NW,animals_vaccinated,animals_vaccinated,bioaftogen,total,97234.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,NW,animals_vaccinated,animals_vaccinated,dolvet,total,39642.0,count,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,
2026-04-24,NW,vaccine_spoilage,vaccines_spoiled,dolvet,,0.028644740046202127,percent,24 April 2026/AgriSA - FMD Vaccination Data - 24.04.26.xlsx,AgriSA-NAT,2026-04-24,2026-04-28,1,,Reported as decimal — interpreted as % when <100
